,code,name,unit,frequency,first_value,last_value,source
0,1,Taxa de câmbio - Livre - Dólar americano (venda) - diário,u.m.c./US$,D,1984-11-28,2022-06-28 00:00:00,Sisbacen PTAX800
0,3,Taxa de câmbio - Flutuante - Dólar turismo - Venda,u.m.c./US$,D,1993-05-27,1999-01-29 00:00:00,Sisbacen PTAX800
0,4,Ouro BM&F - grama,u.m.c.,D,1989-12-29,2019-09-30 00:00:00,BM&FBOVESPA
0,5,Ouro Londres - onça troy,US$,D,1989-12-29,2019-09-30 00:00:00,LBMA
0,7,Bovespa - índice,Pontos,D,1989-12-29,2019-09-30 00:00:00,BM&FBOVESPA
0,8,Bovespa - Volume,R$ (milhões),D,1989-12-29,2019-09-30 00:00:00,BM&FBOVESPA
0,9,BVRJ - índice,Pontos,D,1989-12-29,2003-05-08 00:00:00,BVRJ
0,10,BVRJ - Volume,u.m.c. (mil),D,1989-12-29,2000-08-10 00:00:00,BVRJ
0,11,Taxa de juros - Selic,% a.d.,D,1986-06-04,2022-06-28 00:00:00,BCB-Demab
0,12,Taxa de juros - CDI,% a.d.,D,1986-03-06,2022-06-27 00:00:00,Cetip
0,13,Unidade real de valor (URV),u.m.c.,D,1993-01-04,1994-06-30 00:00:00,Sisbacen PTAX860
0,14,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Total,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,15,Saldo prefixado de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,16,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias,Dias,D,1989-12-29,2022-06-27 00:00:00,Sisbacen PESP300
0,17,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias,Dias,D,1989-12-29,2022-06-27 00:00:00,Sisbacen PESP300
0,18,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Total,% a.d.,D,1992-02-28,2018-12-07 00:00:00,Sisbacen PESP300
0,19,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,20,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias,Dias,D,1989-12-29,2022-06-27 00:00:00,Sisbacen PESP300
0,21,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias,Dias,D,1989-12-29,2022-06-27 00:00:00,Sisbacen PESP300
0,22,BTN/UFIR diária,A definir,D,1989-06-15,1998-05-29 00:00:00,Sisbacen PTAX860
0,23,Saldo diário de depósitos de poupança - SBPE e rural,u.m.c. (mil),D,1991-08-22,2022-06-21 00:00:00,Sisbacen PESP300
0,24,Captação líquida diária de depósitos de poupança - SBPE e rural,u.m.c. (mil),D,1991-08-02,2022-06-21 00:00:00,Sisbacen PESP300
0,25,Depósitos de poupança até 03.05.2012 - Rentabilidade no período,% a.m.,D,1991-02-01,2022-06-27 00:00:00,BCB-Demab
0,26,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Instituições financeiras,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,27,Saldo prefixado de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,28,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,29,Saldo prefixado de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,30,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,31,Saldo prefixado de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,32,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Pessoas fíisicas,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,33,Saldo prefixado de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,34,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Instituições financeiras,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,35,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,36,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,37,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,38,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,39,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,40,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas físicas,% a.d.,D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,41,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,1992-02-28,2022-04-14 00:00:00,Sisbacen PESP300
0,42,Fundo de aplicações financeiras - Patrimônio líquido,u.m.c. (mil),D,1991-03-01,1995-12-29 00:00:00,Sisbacen PFAF300
0,43,Fundo de aplicações financeiras - Captação líquida,u.m.c. (mil),D,1991-03-01,1995-12-29 00:00:00,Sisbacen PFAF300
0,44,Fundo de aplicações financeiras - Rentabilidade diária (%),% a.d.,D,1991-03-01,1995-12-29 00:00:00,Sisbacen PFAF300
0,45,Fundo de comodities - Patrimônio líquido,u.m.c. (mil),D,1992-12-21,1995-12-29 00:00:00,Sisbacen PESP300
0,46,Fundo de comodities - Captação líquida,u.m.c. (mil),D,1992-12-21,1995-12-29 00:00:00,Sisbacen PESP300
0,47,Fundo de comodities - Rentabilidade diária (%),% a.d.,D,1992-12-21,1995-12-29 00:00:00,Sisbacen PESP300
0,48,Fundo mútuo de renda fixa - Patrimônio líquido,u.m.c. (mil),D,1991-01-31,1995-12-29 00:00:00,Sisbacen PESP300
0,49,Fundo mútuo de renda fixa - Captação líquida,u.m.c. (mil),D,1991-01-31,1995-12-29 00:00:00,Sisbacen PESP300
0,50,Fundo mútuo de renda fixa - Rentabilidade diária (%),% a.d.,D,1991-01-31,1995-12-29 00:00:00,Sisbacen PESP300
0,51,Fundo de ações-carteira livre - Patrimônio líquido,u.m.c. (mil),D,1993-10-06,2000-09-29 00:00:00,Sisbacen PESP300
0,52,Fundo de ações-carteira livre - Captação líquida,u.m.c. (mil),D,1993-10-06,2000-09-29 00:00:00,Sisbacen PESP300
0,53,Fundo de ações-carteira livre - Rentabilidade diária (%),% a.d.,D,1993-10-06,2000-09-29 00:00:00,Sisbacen PESP300
0,54,Fundo de ações-tradicional - Patrimônio líquido,u.m.c. (mil),D,1991-01-31,2000-09-29 00:00:00,Sisbacen PESP300
0,55,Fundo de ações-tradicional - Captação líquida,u.m.c. (mil),D,1991-01-31,2000-09-29 00:00:00,Sisbacen PESP300
0,56,Fundo de ações-tradicional - Rentabilidade diária (%),% a.d.,D,1991-01-31,2000-09-29 00:00:00,Sisbacen PESP300
0,57,Depósitos especiais remunerados - Saldos,u.m.c. (mil),D,1991-08-15,1995-12-29 00:00:00,Sisbacen PDER300
0,58,Depósitos especiais remunerados - Resgates,u.m.c. (mil),D,1991-08-15,1995-12-29 00:00:00,Sisbacen PDER300
0,59,Depósitos especiais remunerados - Rentabilidade diária (%),% a.d.,D,1991-08-15,1995-12-29 00:00:00,Sisbacen PDER300
0,60,Fundo de renda fixa-capital estrangeiro - Patrimônio líquido,u.m.c. (mil),D,1994-03-01,2001-04-16 00:00:00,Sisbacen PESP300
0,61,Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%),% a.d.,D,1994-03-01,2001-04-16 00:00:00,Sisbacen PESP300
0,63,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
0,64,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
