checking_balance,months_loan_duration,credit_history,default
< 0 DM,6,critical,no
1 - 200 DM,48,good,yes
unknown,12,critical,no
< 0 DM,42,good,no
< 0 DM,24,poor,yes
unknown,36,good,no
unknown,24,good,no
1 - 200 DM,36,good,no
unknown,12,good,no
1 - 200 DM,30,critical,yes
1 - 200 DM,12,good,yes
< 0 DM,48,good,yes
1 - 200 DM,12,good,no
< 0 DM,24,critical,yes
< 0 DM,15,good,no
< 0 DM,24,good,yes
unknown,24,critical,no
< 0 DM,30,perfect,no
1 - 200 DM,24,good,yes
unknown,24,good,no
unknown,9,critical,no
< 0 DM,6,good,no
< 0 DM,10,critical,no
1 - 200 DM,12,critical,no
unknown,10,critical,no
< 0 DM,6,good,no
unknown,6,perfect,no
> 200 DM,12,very good,no
1 - 200 DM,7,good,no
< 0 DM,60,poor,yes
1 - 200 DM,18,good,no
< 0 DM,24,good,no
1 - 200 DM,18,good,no
unknown,12,critical,no
> 200 DM,12,good,no
1 - 200 DM,45,critical,yes
unknown,48,critical,no
> 200 DM,18,good,yes
> 200 DM,10,good,no
1 - 200 DM,9,good,no
unknown,30,good,no
1 - 200 DM,12,good,no
1 - 200 DM,18,poor,no
< 0 DM,30,critical,no
< 0 DM,48,critical,yes
unknown,11,critical,no
unknown,36,good,no
< 0 DM,6,good,no
unknown,11,critical,no
unknown,12,good,no
1 - 200 DM,24,poor,no
1 - 200 DM,27,poor,no
unknown,12,good,no
unknown,18,good,no
1 - 200 DM,36,poor,yes
unknown,6,very good,no
1 - 200 DM,12,good,yes
unknown,36,critical,no
> 200 DM,18,good,no
< 0 DM,36,critical,yes
1 - 200 DM,9,good,no
1 - 200 DM,15,critical,no
1 - 200 DM,36,perfect,yes
1 - 200 DM,48,perfect,yes
unknown,24,good,no
unknown,27,good,no
unknown,12,good,no
1 - 200 DM,12,good,no
unknown,36,good,yes
unknown,36,good,no
unknown,36,good,no
unknown,7,critical,no
< 0 DM,8,critical,no
1 - 200 DM,42,critical,no
< 0 DM,36,good,yes
< 0 DM,12,critical,no
< 0 DM,42,good,yes
1 - 200 DM,11,poor,no
unknown,54,perfect,no
1 - 200 DM,30,good,no
unknown,24,good,yes
unknown,15,good,no
unknown,18,good,no
< 0 DM,24,good,no
< 0 DM,10,good,no
unknown,12,critical,no
1 - 200 DM,18,critical,no
1 - 200 DM,36,good,yes
< 0 DM,18,good,no
< 0 DM,12,perfect,yes
unknown,12,critical,no
< 0 DM,12,critical,no
unknown,12,critical,yes
> 200 DM,24,critical,no
1 - 200 DM,12,good,no
1 - 200 DM,54,perfect,yes
unknown,12,critical,no
1 - 200 DM,18,good,no
1 - 200 DM,36,critical,no
1 - 200 DM,20,poor,no
unknown,24,good,no
1 - 200 DM,36,good,no
unknown,6,poor,no
1 - 200 DM,9,critical,no
unknown,12,good,no
1 - 200 DM,24,critical,yes
unknown,18,very good,yes
1 - 200 DM,12,good,no
< 0 DM,24,good,no
1 - 200 DM,14,good,no
1 - 200 DM,6,poor,no
> 200 DM,15,good,no
1 - 200 DM,18,good,no
